Country,Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Energy Supply,Energy Supply per Capita,% Renewable,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,1,303064,301778,3036531,2092737,10.02,273,127191000000.0,93.0,19.75491,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937500608.0,14687673892882.0,17734062645371.4
United States,2,184851,181106,2623922,819242,14.19,389,90838000000.0,286.0,11.57098,16253972230000.0,16843190993000.0,17550680174000.0,18206020741000.0,18695110842000.0,19479620056000.0,20527156026000.0,21372572437000.0,20893743833000.0,22996100000000.0
India,3,60257,58589,590570,213760,9.8,198,33195000000.0,26.0,14.96908,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2294797980509.01,2651472946374.91,2702929718960.46,2831552222519.99,2667687951796.56,3173397590816.91
Japan,4,52780,52281,557023,132113,10.55,203,18984000000.0,149.0,10.23282,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5037835383110.97,5123318151510.62,5040107754084.11,4937421880461.55
United Kingdom,5,47141,45928,748994,132737,15.89,244,7920000000.0,124.0,10.60047,2719158341005.79,2803291406029.93,3087165602962.86,2956573778737.76,2722851958486.23,2699016715111.39,2900791442554.06,2878673912414.44,2756900214107.32,3186859739185.02
Germany,6,42343,41464,528645,115432,12.48,211,13261000000.0,165.0,17.90153,3527143188785.16,3733804649549.03,3889093051023.52,3357585719351.56,3469853463945.53,3690849152517.65,3977289455388.23,3888326788627.44,3846413928653.71,4223116205968.92
Russian Federation,7,39424,39189,142937,67935,3.63,96,30709000000.0,214.0,17.28868,2208295773643.15,2292473246621.08,2059241965490.83,1363481063446.77,1276786979221.81,1574199387070.9,1657329646183.62,1693113904262.89,1488321875489.74,1775799919352.98
Canada,8,35588,34940,665415,113363,18.7,246,10431000000.0,296.0,61.94543,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36,1990761609665.23
Italy,9,31260,29959,433388,105641,13.86,177,6530000000.0,109.0,33.66723,2086957656821.6,2141924094298.56,2162009615996.54,1836637711060.55,1877071687633.78,1961796197354.36,2091932426266.98,2011285742552.15,1892574064222.11,2099880198258.88
South Korea,10,31200,30949,405923,74753,13.01,169,11007000000.0,221.0,2.279353,1278427634342.59,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1637895802792.9,1798533915091.14
France,11,26848,26320,403834,73792,15.04,190,10597000000.0,166.0,17.02028,2683671716967.19,2811876903329.03,2855964488590.19,2439188643162.5,2472964344587.17,2595151045197.65,2790956878746.66,2728870246705.88,2630317731455.26,2937472757953.44
Iran,12,25481,25204,398571,122647,15.64,159,9172000000.0,119.0,5.707721,644035510447.901,492775565649.562,460382791826.34,408212918053.939,457954614142.539,486630146443.617,330991589888.991,291362916336.415,231547571240.469,
Spain,13,24969,24505,427391,77583,17.12,187,4923000000.0,106.0,37.96859,1324744314781.64,1355142585077.65,1371222712535.68,1195599995808.59,1232912963206.23,1312539279462.36,1420994142512.16,1393046093137.25,1281484640043.58,1425276586282.92
Brazil,14,23110,22762,219895,53635,9.52,139,12149000000.0,59.0,69.64803,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1873288158977.23,1448565936739.56,1608981220812.2
Australia,15,22803,22276,396186,62694,17.37,192,5386000000.0,231.0,11.81081,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,1542659899992.54
